Reward: 9.0, Epsilon: 0.14663577052834775
Reward: -4.0, Epsilon: 0.14590259167570602
Reward: 8.681207808883048, Epsilon: 0.1451730787173275
Reward: 0.0, Epsilon: 0.14444721332374086
Reward: 0.0, Epsilon: 0.14372497725712216
Reward: 10.0, Epsilon: 0.14300635237083656
Reward: 9.0, Epsilon: 0.14229132060898236
Reward: 9.0, Epsilon: 0.14157986400593744
Reward: 9.0, Epsilon: 0.14087196468590776
Reward: 0.0, Epsilon: 0.14016760486247823
Reward: 1.0, Epsilon: 0.13946676683816583
Reward: -0.3668341720015986, Epsilon: 0.138769433003975
Reward: 7.633113921418103, Epsilon: 0.13807558583895513
Reward: 0.0, Epsilon: 0.13738520790976036
Reward: 9.0, Epsilon: 0.13669828187021155
Reward: 0.0, Epsilon: 0.13601479046086049
Reward: 8.61584437934706, Epsilon: 0.1353347165085562
Reward: 8.0, Epsilon: 0.1346580429260134
Reward: 7.287531051196093, Epsilon: 0.13398475271138335
Reward: -1.3727708302065347, Epsilon: 0.13331482894782642
Reward: 7.091300407992019, Epsilon: 0.13264825480308728
Reward: 7.0, Epsilon: 0.13198501352907185
Reward: -1.3727708302065347, Epsilon: 0.1313250884614265
Reward: 9.0, Epsilon: 0.13066846301911936
Reward: -1.0, Epsilon: 0.13001512070402377
Reward: -4.384496527908794, Epsilon: 0.12936504510050365
Reward: -2.0, Epsilon: 0.12871821987500112
Reward: 10.0, Epsilon: 0.12807462877562611
Reward: -2.384168498541502, Epsilon: 0.12743425563174798
Reward: 0.0, Epsilon: 0.12679708435358925
Reward: 0.15868108154168592, Epsilon: 0.1261630989318213
Reward: 10.0, Epsilon: 0.1255322834371622
Reward: 1.0, Epsilon: 0.12490462201997637
Reward: 9.0, Epsilon: 0.1242800989098765
Reward: 10.0, Epsilon: 0.12365869841532712
Reward: 9.0, Epsilon: 0.12304040492325048
Reward: 9.0, Epsilon: 0.12242520289863423
Reward: 10.0, Epsilon: 0.12181307688414106
Reward: 9.0, Epsilon: 0.12120401149972035
Reward: -1.3665747571641633, Epsilon: 0.12059799144222175
Reward: -1.5795298924180106, Epsilon: 0.11999500148501063
Reward: 10.0, Epsilon: 0.11939502647758558
Reward: 10.0, Epsilon: 0.11879805134519765
Reward: 0.0, Epsilon: 0.11820406108847166
Reward: 0.0, Epsilon: 0.1176130407830293
Reward: 0.0, Epsilon: 0.11702497557911415
Reward: 0.70001307471657, Epsilon: 0.11643985070121858
Reward: 0.0, Epsilon: 0.11585765144771248
Reward: -1.0, Epsilon: 0.11527836319047392
Reward: 0.0, Epsilon: 0.11470197137452155
Reward: -1.0, Epsilon: 0.11412846151764894
Reward: 1.0, Epsilon: 0.1135578192100607
Reward: 8.633112626830922, Epsilon: 0.11299003011401039
Reward: 7.5503206836720596, Epsilon: 0.11242507996344034
Reward: 1.4200023460309952, Epsilon: 0.11186295456362313
Reward: 8.0, Epsilon: 0.11130363979080501
Reward: 0.0, Epsilon: 0.11074712159185099
Reward: -0.5799196641452298, Epsilon: 0.11019338598389174
Reward: -1.0, Epsilon: 0.10964241905397228
Reward: 9.0, Epsilon: 0.10909420695870241
Reward: 10.0, Epsilon: 0.1085487359239089
Reward: 8.633112626830922, Epsilon: 0.10800599224428936
Reward: -1.0, Epsilon: 0.10746596228306791
Reward: 0.0, Epsilon: 0.10692863247165257
Reward: -1.0, Epsilon: 0.1063939893092943
Reward: 1.0, Epsilon: 0.10586201936274783
Reward: -1.0, Epsilon: 0.10533270926593409
Reward: -1.0, Epsilon: 0.10480604571960442
Reward: 9.0, Epsilon: 0.1042820154910064
Reward: 0.0, Epsilon: 0.10376060541355137
Reward: 10.0, Epsilon: 0.1032418023864836
Reward: -3.0, Epsilon: 0.10272559337455119
Reward: 0.0, Epsilon: 0.10221196540767843
Reward: 7.5255094373935885, Epsilon: 0.10170090558064004
Reward: 9.0, Epsilon: 0.10119240105273684
Reward: 8.618512589192463, Epsilon: 0.10068643904747315
Reward: 8.0, Epsilon: 0.10018300685223579
Reward: 7.6185204663243455, Epsilon: 0.0996820918179746
Reward: 10.0, Epsilon: 0.09918368135888474
Reward: 0.0, Epsilon: 0.09868776295209031
Reward: 10.0, Epsilon: 0.09819432413732986
Reward: 9.0, Epsilon: 0.09770335251664321
Reward: -1.0, Epsilon: 0.09721483575406
Reward: 9.0, Epsilon: 0.09672876157528969
Reward: 8.681207808883048, Epsilon: 0.09624511776741324
Reward: -1.0, Epsilon: 0.09576389217857617
Reward: 9.0, Epsilon: 0.09528507271768329
Reward: 8.0, Epsilon: 0.09480864735409487
Reward: 9.0, Epsilon: 0.0943346041173244
Reward: 8.0, Epsilon: 0.09386293109673778
Reward: 9.0, Epsilon: 0.09339361644125409
Reward: 0.70001307471657, Epsilon: 0.09292664835904782
Reward: -1.0, Epsilon: 0.09246201511725258
Reward: 9.0, Epsilon: 0.09199970504166631
Reward: 0.0, Epsilon: 0.09153970651645797
Reward: 10.0, Epsilon: 0.09108200798387568
Reward: -1.0, Epsilon: 0.0906265979439563
Reward: 9.0, Epsilon: 0.09017346495423652
Reward: -0.5799196641452298, Epsilon: 0.08972259762946533
Reward: 0.0, Epsilon: 0.089273984641318
Reward: 0.0, Epsilon: 0.0888276147181114
Reward: 9.0, Epsilon: 0.08838347664452084
Reward: -0.38116369941996364, Epsilon: 0.08794155926129824
Reward: 10.0, Epsilon: 0.08750185146499175
Reward: -1.0, Epsilon: 0.08706434220766679
Reward: 1.0, Epsilon: 0.08662902049662846
Reward: -1.2995522784933433, Epsilon: 0.08619587539414532
Reward: 10.0, Epsilon: 0.08576489601717459
Reward: 0.0, Epsilon: 0.08533607153708872
Reward: -0.5799196641452298, Epsilon: 0.08490939117940327
Reward: 1.3169697592556657, Epsilon: 0.08448484422350626
Reward: 8.0, Epsilon: 0.08406242000238873
Reward: -1.379585246521927, Epsilon: 0.08364210790237678
Reward: 1.0, Epsilon: 0.0832238973628649
Reward: -1.0, Epsilon: 0.08280777787605056
Reward: 9.0, Epsilon: 0.08239373898667031
Reward: 9.0, Epsilon: 0.08198177029173696
Reward: 0.0, Epsilon: 0.08157186144027828
Reward: 9.0, Epsilon: 0.0811640021330769
Reward: 8.0, Epsilon: 0.08075818212241151
Reward: -1.0, Epsilon: 0.08035439121179945
Reward: 0.0, Epsilon: 0.07995261925574046
Reward: 10.0, Epsilon: 0.07955285615946175
Reward: -2.0, Epsilon: 0.07915509187866444
Reward: -1.0, Epsilon: 0.07875931641927113
Reward: 0.0, Epsilon: 0.07836551983717477
Reward: 0.0, Epsilon: 0.07797369223798889
Reward: -1.0, Epsilon: 0.07758382377679894
Reward: 0.0, Epsilon: 0.07719590465791494
Reward: 9.0, Epsilon: 0.07680992513462537
Reward: -2.0, Epsilon: 0.07642587550895225
Reward: -1.3665747571641633, Epsilon: 0.07604374613140748
Reward: 8.0, Epsilon: 0.07566352740075044
Reward: -0.8412489806858243, Epsilon: 0.07528520976374668
Reward: 9.0, Epsilon: 0.07490878371492794
Reward: 10.0, Epsilon: 0.0745342397963533
Reward: 9.0, Epsilon: 0.07416156859737154
Reward: 9.0, Epsilon: 0.07379076075438468
Reward: 8.0, Epsilon: 0.07342180695061275
Reward: 0.0, Epsilon: 0.07305469791585968
